"Nume_actiune","timestamp"
"inegistrare","2021-04-21 23:55:52.731"
"inegistrare","2021-04-21 23:56:45.672"
"logare","2021-04-21 23:57:02.284"
"oferaDiscount","2021-04-21 23:57:07.23"
"adaugaLocalManager","2021-04-21 23:57:07.231"
"adaugaLocalPlaforma","2021-04-21 23:57:07.232"
"veziProduseLocal","2021-04-21 23:57:07.232"
"delogare","2021-04-21 23:57:09.101"
"afiseazaDateCont","2021-04-21 23:57:09.103"
"logare","2021-04-21 23:57:09.105"
"afiseazaDateCont","2021-04-21 23:57:23.614"
"schimbaAdresa","2021-04-21 23:57:23.615"
"schimbaAdresa","2021-04-21 23:57:23.617"
"afiseazaDateCont","2021-04-21 23:57:23.628"
"veziListaLocaluri","2021-04-21 23:57:23.629"
"veziProduseLocal","2021-04-21 23:57:23.636"
"cautaProdus","2021-04-21 23:57:38.885"
"veziProduseLocal","2021-04-21 23:57:38.887"
"comandaDeLaLocalul","2021-04-21 23:57:45.665"
"comandaDeLaLocalul","2021-04-21 23:57:45.666"
"adaugaProdusLaComanda","2021-04-21 23:57:45.668"
"adaugaProdusLaComanda","2021-04-21 23:57:45.669"
"adaugaProdusLaComanda","2021-04-21 23:57:45.67"
"adaugaProdusLaComanda","2021-04-21 23:57:45.671"
"stergeProdusDinComanda","2021-04-21 23:57:45.672"
"stergeProdusDinComanda","2021-04-21 23:57:45.673"
"finalizeazaComanda","2021-04-21 23:57:45.674"
"veziIstoric","2021-04-21 23:57:49.262"
"adaugaLocalPreferinte","2021-04-21 23:57:49.271"
"veziPreferinte","2021-04-21 23:57:49.272"
"stergeLocalPreferinte","2021-04-21 23:57:49.273"
"veziPreferinte","2021-04-21 23:57:49.274"
"repetaComanda","2021-04-21 23:57:49.275"
"finalizeazaComanda","2021-04-21 23:57:49.276"
